control,control_index,method,model_pairs,mean_pair_spearman,median_pair_spearman,minimum_pair_spearman,maximum_pair_spearman
permuted_map,60,integrated_gradients,435,0.7115497882637627,0.6977105263157892,0.5858508771929823,0.9611578947368419
permuted_map,60,gradient_shap,435,0.8077915708812259,0.8051666666666665,0.6836666666666665,0.9643333333333332
permuted_map,61,integrated_gradients,435,0.6815760637225245,0.6713596491228069,0.5184473684210524,0.9564999999999998
permuted_map,61,gradient_shap,435,0.8074164750957853,0.8039999999999998,0.7204999999999997,0.9568333333333332
permuted_map,62,integrated_gradients,435,0.6521486590038313,0.6338333333333331,0.5093333333333333,0.9581666666666664
permuted_map,62,gradient_shap,435,0.7499681992337163,0.7469999999999999,0.6116666666666665,0.9641666666666666
permuted_map,63,integrated_gradients,435,0.6172837467231295,0.6023684210526314,0.45614035087719285,0.9536403508771929
permuted_map,63,gradient_shap,435,0.6938402298850573,0.6861666666666666,0.5489999999999998,0.9496666666666665
permuted_map,64,integrated_gradients,435,0.7093019157088122,0.6969999999999998,0.5703333333333332,0.9633333333333332
permuted_map,64,gradient_shap,435,0.7886804597701147,0.7866666666666665,0.6523333333333331,0.9663333333333333
permuted_map,65,integrated_gradients,435,0.7095097197015524,0.6998245614035086,0.5740526315789471,0.9599736842105261
permuted_map,65,gradient_shap,435,0.7964042145593868,0.7931666666666666,0.6866666666666664,0.9576666666666666
permuted_map,66,integrated_gradients,435,0.7078846743295018,0.6951052631578946,0.5664035087719297,0.964473684210526
permuted_map,66,gradient_shap,435,0.8016873563218389,0.7981666666666665,0.6994999999999998,0.9686666666666666
permuted_map,67,integrated_gradients,435,0.7405409558378703,0.7307719298245612,0.6191228070175437,0.9688333333333331
permuted_map,67,gradient_shap,435,0.8241038314176243,0.8191666666666665,0.7383333333333333,0.9674999999999998
permuted_map,68,integrated_gradients,435,0.7303684008872755,0.7235438596491226,0.6094912280701753,0.9639912280701753
permuted_map,68,gradient_shap,435,0.8344295019157086,0.8304999999999998,0.7504999999999998,0.9681666666666664
permuted_map,69,integrated_gradients,435,0.7006310344827584,0.6889999999999998,0.5761052631578947,0.9606666666666664
permuted_map,69,gradient_shap,435,0.7801923371647508,0.7771666666666665,0.6774999999999998,0.9638333333333332
permuted_map,70,integrated_gradients,435,0.7210204476709012,0.7082807017543857,0.6097105263157894,0.9639999999999997
permuted_map,70,gradient_shap,435,0.807787356321839,0.8028333333333332,0.7026666666666666,0.965333333333333
permuted_map,71,integrated_gradients,435,0.6825494252873561,0.6664035087719297,0.51459649122807,0.9644649122807016
permuted_map,71,gradient_shap,435,0.7702402298850574,0.7661666666666666,0.6188333333333331,0.9673333333333332
permuted_map,72,integrated_gradients,435,0.7189877596289573,0.7102982456140349,0.5702105263157894,0.9588333333333332
permuted_map,72,gradient_shap,435,0.7868931034482757,0.7879999999999999,0.6599999999999998,0.9573333333333333
permuted_map,73,integrated_gradients,435,0.686632930026215,0.6721842105263156,0.5313859649122806,0.9598333333333331
permuted_map,73,gradient_shap,435,0.7906011494252873,0.7919999999999998,0.6378333333333333,0.9631666666666664
permuted_map,74,integrated_gradients,435,0.6726252873563217,0.6559999999999998,0.4994999999999999,0.9606666666666664
permuted_map,74,gradient_shap,435,0.7998980842911875,0.8004999999999998,0.6741666666666665,0.9624999999999998
permuted_map,75,integrated_gradients,435,0.7206168380721918,0.7085087719298244,0.5798859649122806,0.9621403508771927
permuted_map,75,gradient_shap,435,0.7893812260536397,0.7859999999999998,0.6344999999999998,0.9696666666666666
permuted_map,76,integrated_gradients,435,0.6905091954022988,0.6804999999999999,0.5335,0.9589999999999997
permuted_map,76,gradient_shap,435,0.7983229885057468,0.7953333333333332,0.6904999999999998,0.9599999999999996
permuted_map,77,integrated_gradients,435,0.7146533373664045,0.7008684210526314,0.6107017543859647,0.9642807017543858
permuted_map,77,gradient_shap,435,0.7963363984674328,0.7931666666666665,0.6936666666666664,0.9669999999999997
permuted_map,78,integrated_gradients,435,0.7061808630772332,0.6938421052631577,0.5871228070175437,0.9634999999999998
permuted_map,78,gradient_shap,435,0.7755321839080458,0.7726666666666665,0.6368333333333331,0.9589999999999997
permuted_map,79,integrated_gradients,435,0.7099537406735228,0.7020614035087717,0.5691140350877191,0.958
permuted_map,79,gradient_shap,435,0.8163455938697317,0.8138333333333332,0.6883333333333331,0.973
